title,authors,fieldOfStudy,year,doiUrl
Bio-inspired wearable characteristic surface : Wear behavior of cast iron with biomimetic units processed by laser,"Hong  Zhou, Na  Sun, Hongyu  Shan, Dianyi  Ma, Xin  Tong, Luquan  Ren",Materials Science,2007,https://doi.org/10.1016/J.APSUSC.2007.06.014
"Faunal Remains from the Wollaston Forland—Clavering Ø Region, Northeast Greenland—Thule Culture Subsistence in a High Arctic Polynya and Ice-edge Habitat",Anne Birgitte Gotfredsen,Geography,2010,https://doi.org/10.1080/00167223.2010.10669506
Evidence that the partial resistance of the Arabidopsis 5‐2 mutant to fusicoccin depends on a decreased capacity of the H+ pump to respond to activating factors,"M. T. Marre, A.  Venegoni, A.  Talarico, C.  Soave, E.  Marré",Biology,1995,https://doi.org/10.1111/J.1365-3040.1995.TB00566.X
"Opioid Use Fueling HIV Transmission in an Urban Setting: An Outbreak of HIV Infection Among People Who Inject Drugs-Massachusetts, 2015-2018.","Charles  Alpren, Erica L Dawson, Betsey  John, Kevin  Cranston, Nivedha  Panneer, H Dawn Fukuda, Kathleen  Roosevelt, R Monina Klevens, Janice  Bryant, Philip J Peters, Sheryl B Lyss, William  Switzer, Amanda  Burrage, Ashley  Murray, Christine  Agnew-Brune, Tracy  Stiles, Paul  McClung, Ellsworth M Campbell, Courtney  Breen, Liisa M Randall, Sharoda  Dasgupta, Shauna  Onofrey, Danae  Bixler, Kischa  Hampton, Jenifer Leaf Jaeger, Katherine K Hsu, William  Adih, Barry  Callis, Linda R Goldman, Susie P Danner, Hongwei  Jia, Matthew  Tumpney, Amy  Board, Catherine  Brown, Alfred  DeMaria, Kate  Buchacz",Medicine,2019,https://doi.org/10.2105/AJPH.2019.305366
Budapest to privatise 11 hospitals,Carl  Kovac,Medicine,2000,https://doi.org/10.1136/bmj.321.7268.1042%2Fb
Stochastic Modeling of Rotordynamics for Electrical Fuel Pump Application,"Andre Morais Ferreira, Helio Fiori de Castro",Environmental Science,2018,https://doi.org/10.1007/978-3-319-99272-3_30
Task sequencing within a distributed human team: experimental paradigm and normative modeling,"W. P. Wang, P. B. Luh",Computer Science,1990,https://doi.org/10.1109/ICSMC.1990.142140
A high-efficiency photooxidation reactor for speciation of organic arsenicals by liquid chromatography-hydride generation-ICPMS.,"Tetsuya  Nakazato, Hiroaki  Tao",Chemistry,2006,https://doi.org/10.1021/AC051783F
Quantum well electroabsorption modulators at 1.55 μm using single‐step selective area chemical beam epitaxial growth,"Young-Kai  Chen, Jane E. Zucker, T. H. Chiu, Joyce  Marshall, K. L. Jones",Physics,1992,https://doi.org/10.1063/1.107655
A National Faculty Development Needs Assessment in Emergency Medicine.,"G Mark Brown, Eddy  Lang, Kamala  Patel, Andrew  McRae, Brian  Chung, Philip  Yoon, Sandy  Dong, Danielle  Blouin, Jonathan  Sherbino, Christopher  Hicks, Glen  Bandiera, Christine  Meyers",Medicine,2016,https://doi.org/10.1017/cem.2015.77
Padé approximants applied to perturbation theory for the linear confining potential,"C. S. Lai, W. C. Lin",Physics,1981,https://doi.org/10.1139/P81-095
Subchronic oral toxicity of succinate tartrates in rats.,"D W Petersen, M R Osheroff",Medicine,1989,https://doi.org/10.1016/0278-6915%2889%2990135-X
On a Time-Optimal Control Problem Associated with the Heat Exchange Process,"Sergio  Albeverio, Shavkat  Alimov",Mathematics,2008,https://doi.org/10.1007/S00245-007-9008-7
Naturalistically observed sighing and depression in rheumatoid arthritis patients: a preliminary study.,"Megan L. Robbins, Matthias R. Mehl, Shannon E. Holleran, Shelley  Kasle",Psychology,2011,https://doi.org/10.1037/a0021558
Orientational ordering studies of fluorinated thermotropic liquid crystals by NMR spectroscopy,"Lucia  Calucci, Marco  Geppi, Stanislaw  Urban",Chemistry,2014,https://doi.org/10.1002/mrc.4106
Design of tree-frog-inspired adhesives.,"Julian K A Langowski, Dimitra  Dodou, Peter  van Assenbergh, Johan L van Leeuwen",Medicine,2020,https://doi.org/10.1093/icb%2Ficaa037
Biometric cryptosystems: issues and challenges,"Umut  Uludag, Sharath  Pankanti, Salil  Prabhakar, Anil K. Jain",Computer Science,2004,https://doi.org/10.1109/JPROC.2004.827372
Thin-film solar cells: Device measurements and analysis,"Steven S. Hegedus, William N. Shafarman",Chemistry,2004,https://doi.org/10.1002/PIP.518
Topology and breakdown of Görtler vortices on an oscillating cylinder,"M.  Canals, G.  Pawlak",Physics,2008,https://doi.org/10.1063/1.2973206
"THE OPINIONS OF ADMINISTRATORS, TEACHERS AND PARENTS ABOUT SCHOOL-FAMILY COOPERATION",Zeynep  Aydin,Psychology,2010,https://doi.org/10.12739/10.12739
Carbon and nitrogen stable isotope fractionation in the sediment of Lake Bled (Slovenia),"Sonja  Lojen, Nives  Ogrinc, Tadej  Dolenec",Chemistry,1997,https://doi.org/10.1007/BF02406871
Evaluation of Zackel Lamb Meat Quality with the Aim of Increasing the Conservation Value of the Breed,"S Savic Mila, Baltić  Milan, Becskei  Zsolt, Dimitrijević  Blagoje, Dimitrijević  Vladimir, Savić  Đorde, Vegara  Mensur",Biology,2014,https://doi.org/10.2478/acve-2014-0041
Phosphorylated CCAAT/Enhancer Binding Protein β Contributes to Rat HIV-Related Neuropathic Pain: In Vitro and In Vivo Studies,"Hyun  Yi, Shue  Liu, Yuta  Kashiwagi, Daigo  Ikegami, Wan  Huang, Hirotsugu  Kanda, Takafumi  Iida, Ching-Hang  Liu, Keiya  Takahashi, David A Lubarsky, Shuanglin  Hao",Medicine,2018,https://doi.org/10.1523/JNEUROSCI.3647-16.2017
Beyond the Bounds of the Human Factors Tool Kit: Computer-Human Interface Design in a Complex System,"Douglas L. Miller, G. Jonathan Wolfman, R. Timothy Mullins, Colin  Crehan",Engineering,1994,https://doi.org/10.1177/154193129403801602
Impact of Parameterization of Physical Processes on Simulation of Track and Intensity of Tropical Cyclone Nargis (2008) with WRF-NMM Model,"Sujata  Pattanayak, U. C. Mohanty, Krishna K. Osuri",Environmental Science,2012,https://doi.org/10.1100/2012%2F671437
"A Unification of the Generalized Multiparameter Apostol-type Bernoulli, Euler, Fubini, and Genocchi Polynomials of Higher Order",Nestor G. Acala,Mathematics,2020,https://doi.org/10.29020/nybg.ejpam.v13i3.3757
Beamlines of the Biomedical Imaging and Therapy Facility at the Canadian Light Source - Part 2,"Tomasz W. Wysokinski, Dean  Chapman, Gregg P. Adams, Michel  Renier, Pekka  Suortti, W.  Thomlinson",Physics,2013,https://doi.org/10.1088/1742-6596%2F425%2F7%2F072013
A multi-agent based intelligent monitoring system for power transformers in distributed substations,"J. Q. Feng, D. P. Buse, Q. H. Wu, J.  Fitch",Engineering,2002,https://doi.org/10.1109/ICPST.2002.1067876
A New Context-Aware Measure for Semantic Distance Using a Taxonomy and a Text Corpus,"Ahmad El Sayed, Hakim  Hacid, Djamel A. Zighed",Computer Science,2007,https://doi.org/10.1109/IRI.2007.4296634
Effects of heavy metals and metal (oxide) nanoparticles on enhanced biological phosphorus removal,"Ruyi  Wang, Juqing  Lou, Jing  Fang, Jing  Cai, Zhirong  Hu, Peide  Sun",Chemistry,2019,https://doi.org/10.1515/revce-2018-0076
Influence of reaction heat on time dependent processes in a chemically reacting binary mixture,"W.  Marques, Gilberto M. Kremer, Ana Jacinta Soares",Chemistry,2012,https://doi.org/10.1063/1.4769490
Mammary carcinoma with osteoclast‐like giant cell: Fine needle aspiration and cytological diagnosis of a rare and misleading subtype of invasive ductal carcinoma,"Benjamin  Bonsang, Françoise  Charles, Virginie  Conan-Charlet, Sandrine  Guilbert, Pascale  Marcorelles, Matthieu  Talagas",Medicine,2019,https://doi.org/10.1111/cyt.12669
Dutch Tariff for the Five-Level Version of EQ-5D.,"Matthijs  M Versteegh, Karin  M Vermeulen, Silvia  M A A Evers, G Ardine de Wit, Rilana  Prenger, Elly  A Stolk",Mathematics,2016,https://doi.org/10.1016/j.jval.2016.01.003
Rabies awareness,Mariette  Asselbergs,Medicine,2007,https://doi.org/10.1136/vr.161.20.704
The oxygen-isotope effect on the in-plane penetration depth in underdoped Y1−x Prx Ba2 Cu3 O7−δ as revealed by muon-spin rotation,"R.  Khasanov, A.  Shengelaya, K.  Conder, Elvezio  Morenzoni, I. M. Savić, H.  Keller",Physics,2002,https://doi.org/10.1088/0953-8984%2F15%2F2%2F103
"Intracellular pH, Na+- and K+-activities at the onset of St. Thomas' cardioplegia: a study with ionselective microelectrodes.","B  Stinner, E  Krohn, M M Gebhard, H J Bretschneider",Medicine,1988,https://doi.org/10.1055/S-2007-1020090
Patients with intracranial bleeding and atrial fibrillation treated with left atrial appendage occlusion: Results from the Amplatzer Cardiac Plug registry.,"Apostolos  Tzikas, Xavier  Freixa, Laura  Llull, Sameer  Gafoor, Samera  Shakir, Heyder  Omran, George  Giannakoulas, Sergio  Berti, Gennaro  Santoro, Joelle  Kefer, Adel  Aminian, Steffen  Gloekler, Ulf  Landmesser, Jens Erik Nielsen-Kudsk, Ignacio  Cruz-Gonzalez, Prapa  Kanagaratnam, Fabian  Nietlispach, Reda  Ibrahim, Horst  Sievert, Wolfgang  Schillinger, Jai-Wun  Park, Bernhard  Meier, Haralampos  Karvounis",Medicine,2017,https://doi.org/10.1016/j.ijcard.2017.02.042
Partial and Total Oxidation of Methane in Monolithic Catalysts at Short Contact Times,Renate  Schwiedernoch,Chemistry,2005,https://doi.org/10.11588/HEIDOK.00005843
Multiobjective approach to categorical data clustering,"Anirban  Mukhopadhyay, Ujjwal  Maulik",Mathematics,2007,https://doi.org/10.1109/CEC.2007.4424620
Impact of the Elderly Club on the Social Well‐Being of the Rural Elderly in the Northeastern Region of Thailand,"Buraskorn  Torut, Soparth  Pongquan",Business,2012,https://doi.org/10.1002/POP4.6
Phase transition theory for passive mode locking of lasers,"Ariel  Gordon, Baruch  Fischer",Physics,2002,https://doi.org/10.1109/CLEO.2002.1033431
Acid-induced demineralisation of human enamel as a function of time and pH observed using X-ray and polarised light imaging.,"Robert A Harper, Richard M Shelton, Jonathan D James, Enrico  Salvati, Cyril  Besnard, Alexander M Korsunsky, Gabriel  Landini",Chemistry,2020,https://doi.org/10.1016/j.actbio.2020.04.045
Children‘s ability to remember an occurrence of a repeated event,"Martine B. Powell, Donald M. Thomson, Paul  Dietze",Psychology,1997,https://doi.org/10.1023/A%3A1008879019605
Anomalies of the electronic heat capacity of thulium cuprates in the pseudogap phase region,"E. B. Amitin, K. R. Zhdanov, M. Y. Kameneva, Yu.A.  Kovalevskaya, L. P. Kozeeva, I. E. Paukov, A. G. Blinov Institute of Inorganic Chemistry SB RAS, Novosibirsk State University",Physics,2002,https://doi.org/10.1063/1.1511712
Analysis of the Efficiency between Japanese and China's Steel Industry Based on Data of Listed Companies,"Peirong  Liu, Zhihao  Liang",Computer Science,2013,https://doi.org/10.1109/ISCID.2013.123
Cation to anion stoichiometry of chromite: A new perspective,"J.  Nell, H.  Pollak",Chemistry,1998,https://doi.org/10.1023/A%3A1012686608151
TiSi2∕Si heteronanocrystal metal-oxide-semiconductor-field-effect-transistor memory,"Yan  Zhu, Bei  Li, Jianlin  Liu, Guanxiong  Liu, Jory A. Yarmoff",Physics,2006,https://doi.org/10.1063/1.2402232
Long-term shifts in the north western Mediterranean coastal seascape: The habitat-forming seaweed Codium vermilara.,"Aurora M Ricart, María  García, Boris  Weitzmann, Cristina  Linares, Bernat  Hereu, Enric  Ballesteros",Geography,2018,https://doi.org/10.1016/j.marpolbul.2017.12.019
Doctorates caught between disciplines and projects,Chris  Younès,Sociology,2006,https://doi.org/10.1080/13602360600931532
Expression and Purification of Enzymatically Active Forms of the Human Lysyl Oxidase-like Protein 4*,"Moon Suk Kim, Sung-Su  Kim, Sang Taek Jung, Jung-Young  Park, Han-Wook  Yoo, Jesang  Ko, Katalin  Csiszar, Sang-Yun  Choi, Youngho  Kim",Biology,2003,https://doi.org/10.1074/jbc.M308856200
Representational Resources for Constructing Shared Understandings in the High School Chemistry Classroom,"Vera  Michalchik, Anders  Rosenquist, Robert B. Kozma, Patty  Kreikemeier, Patricia  Schank",Psychology,2008,https://doi.org/10.1007/978-1-4020-5267-5_11
Polyaniline as a new sensitive layer for gas sensors,"Dominique  Nicolas-Debarnot, Fabienne  Poncin-Epaillard",Chemistry,2003,https://doi.org/10.1016/S0003-2670%2802%2901229-1
Centralized Inter-Network Spectrum Sharing with Opportunistic Frequency Reuse,"Wei  Ni, Iain B. Collings",Computer Science,2009,https://doi.org/10.1109/GLOCOM.2009.5426311
Developing Median Regression for SURE Models - with Application to 3-Generation Immigrants’ data in Sweden,Zangin  Zeebari,Mathematics,2009,https://doi.org/10.1016/J.ECONMOD.2011.07.010%2C
Innovative Oxygen Carrier Materials for Chemical-Looping Combustion,"Dazheng  Jing, Tobias  Mattisson, Magnus  Rydén, Peter  Hallberg, Ali  Hedayati, Jasper Van Noyen, Frans  Snijkers, Anders  Lyngfelt",Chemistry,2013,https://doi.org/10.1016/J.EGYPRO.2013.05.152
Combination of vascularized outer-table calvarial bone graft based on the superficial temporal vessels and allomatrix for the repair of an orbito-frontal blow-out fracture in a child.,"Faizal  Ali, Ahmad Sukari Halim, Sharida Zakaria Najihah, Mohtar  Ibrahim, Jafri  Abdullah",Medicine,2005,https://doi.org/10.1016/J.JCMS.2005.07.001
"Student perception on group work and group assignments in classroom teaching: The case of Bule Hora university second year biology students, South Ethiopia: An action research","Tolessa Muleta Daba, Sorale Jilo Ejersa, Sultan  Aliyi",Psychology,2017,https://doi.org/10.5897/ERR2016.3006
Factors associated with the steep increase in late-midlife stroke occurrence among US men.,"Amytis  Towfighi, Jeffrey L Saver, Rita  Engelhardt, Bruce  Ovbiagele",Medicine,2008,https://doi.org/10.1016/j.jstrokecerebrovasdis.2007.12.007
Quantifying the shift towards empirical methods,Geoffrey  Sampson,Computer Science,2005,https://doi.org/10.1075/IJCL.10.1.02SAM
Domain Adaptation with Logistic Regression for the Task of Splice Site Prediction,"Nic  Herndon, Doina  Caragea",Computer Science,2015,https://doi.org/10.1007/978-3-319-19048-8_11
"On the generic placement and taxonomic status of some Miltochrista taxa described by Franz Daniel (Lepidoptera, Erebidae, Arctiinae).",Anton V Volynkin,Biology,2016,https://doi.org/10.11646/zootaxa.4179.2.4
Educational resources used by medical students in primary healthcare rotation: A cross sectional study,Ali  Al-Hazmi,Medicine,2016,https://doi.org/10.12669/pjms.322.9784
The impact of selenisation on damp heat degradation of the CIGS back contact molybdenum,"Mirjam  Theelen, Mathieu  Tomassini, Nicolas  Barreau, Henk  Steijvers, Annalisa  Branca, Sylvie  Harel, Zeger  Vroon, Miro  Zeman",Materials Science,2013,https://doi.org/10.1109/PVSC-VOL2.2012.6656703
An Interview With Alan J. Hovestadt: AAMFT Past President and Long-Time Marriage and Family Counselor Educator,"Gerald A. Juhnke, Michael F. Sunich, Kenneth M. Coll, Maritza  Lebron-Striker",Medicine,2009,https://doi.org/10.1177/1066480709338281
The prognostic impact of the uric acid level in patients who require cardiovascular intensive care – is serum uric acid a surrogate biomarker for critical patients in the non-surgical intensive care unit?,"Yusaku  Shibata, Akihiro  Shirakabe, Hirotake  Okazaki, Masato  Matsushita, Tomofumi  Sawatani, Saori  Uchiyama, Kenichi  Tani, Nobuaki  Kobayashi, Toshiaki  Otsuka, Noritake  Hata, Kuniya  Asai, Wataru  Shimizu",Medicine,2019,https://doi.org/10.1177/2048872618822473
Systematic Identification of Host Immune Key Factors Influencing Viral Infection in PBL of ALV-J Infected SPF Chicken,"Manman  Dai, Shibing  Li, Keyi  Shi, Jiayu  Liao, Hui  Sun, Ming  Liao",Biology,2020,https://doi.org/10.3390/v12010114
Temporal dynamics of land use/land cover change and its prediction using CA-ANN model for southwestern coastal Bangladesh,"M Tauhid Ur Rahman, Faheemah  Tabassum, Md  Rasheduzzaman, Humayra  Saba, Lina  Sarkar, Jannatul  Ferdous, Syed Zia Uddin, A Z M Zahedul Islam",Geography,2017,https://doi.org/10.1007/s10661-017-6272-0
Detection and analysis of tumour biomarkers to strengthen the diagnosis of acute and chronic leukaemias,"R.  Cerón-Maldonado, Adolfo  Martínez-Tovar, Christian Omar Ramos-Peñafiel, E.  Miranda-Peralta, I.  Mendoza-Salas, E.  Mendoza-García, Etta  Rozen-Fuller, J. J. Kassack-Ipiña, J.  Collazo-Jaloma, A.  Martínez-Herrera, Irma  Olarte-Carrillo",Medicine,2015,https://doi.org/10.1016/J.HGMX.2015.04.006
Performance of high rate turbo codes on a PR4-equalized magnetic recording channel,William E. Ryan,Computer Science,1998,https://doi.org/10.1109/ICC.1998.685151
Plasma-induced Free Radicals of Polycrystalline Dicarbohydrates Studied by Electron Spin Resonance.,"Kuzuya, Masayuki, Yamauchi, Yukinori",Materials Science,1998,https://doi.org/10.1016/S0040-6090%2898%2900407-6
Measurement of the dielectric constants of metallic nanoparticles embedded in a paraffin rod at microwave frequencies,"Yan-Shian  Yeh, Juh Tzeng Lue, Zhi-Ren  Zheng",Mathematics,2005,https://doi.org/10.1109/TMTT.2005.847093
Effect of indium on the conductivity of poly-crystalline GaN grown on high purity fused silica,"Stacia  Keller, Jing  Lu, Umesh K. Mishra, Steven P. DenBaars, James S. Speck",Materials Science,2012,https://doi.org/10.1002/PSSA.201100349
Planning your elective: Solomon Islands,Mark  Wilson,Medicine,2003,https://doi.org/10.1136/SBMJ.0309333
Tuberculous pericarditis in an HIV-infected patient.,"S J Antony, D W Haas",Medicine,1995,https://doi.org/10.3109/00365549509032743
Influence of high homocysteine and low folate plasmatic levels in medium-term prognosis after acute coronary syndromes.,"José Manuel García-Pinilla, Salvador  Espinosa-Caliani, Juan José Gómez-Doblas, Manuel  Jiménez-Navarro, María J Gaitán, Encarnación  Muñoz-Morán, Fernando  Cabrera-Bueno, José M Hernández-García, María Victoria Ortega-Jiménez, Maximiliano  Ruiz-Galdón, Armando  Reyes-Engel, Eduardo  de Teresa-Galván",Medicine,2007,https://doi.org/10.1016/J.IJCARD.2006.06.053
Expression levels of selected cytokines and microRNAs in response to vitamin D supplementation in ultra-marathon runners,"D  Pastuszak-Lewandoska, D  Domańska-Senderowska, J  Kiszałkiewicz, P  Szmigielska, A  Snochowska, W  Ratkowski, M  Spieszny, T  Klocek, P  Godlewski, P  Cięszczyk, E  Brzeziańska-Lasota, A V September, M J Laguette",Medicine,2019,https://doi.org/10.1080/17461391.2019.1635649
"The Greek School Network - Structure, Design Principles, and Services Offered","Nikolaos  Xypolitos, Michael  Paraskevas, Emmanouel A. Varvarigos",Computer Science,2006,https://doi.org/10.5220/0001425302830288
Fast accurate missing SNP genotype local imputation,"Yining  Wang, Zhipeng  Cai, Paul  Stothard, Steve  Moore, Randy  Goebel, Lusheng  Wang, Guohui  Lin",Biology,2012,https://doi.org/10.1186/1756-0500-5-404
"The pharmacokinetics of nedocromil sodium, a new drug for the treatment of reversible obstructive airways disease, in human volunteers and patients with reversible obstructive airways disease.","M G Neale, K  Brown, R A Foulds, S  Lal, D A Morris, D  Thomas",Medicine,1987,https://doi.org/10.1111/J.1365-2125.1987.TB03203.X
Diamond films grown on seeded substrates by hot-filament chemical vapour deposition with H2 as the only feeding gas,"Hongwu  Liu, Chengxin  Wang, Chunxiao  Gao, Yonghao  Han, Jifeng  Luo, Guangtian  Zou, Chao  Wen",Physics,2002,https://doi.org/10.1088/0953-8984%2F14%2F44%2F411
"Determination of 2,4- and 2,6-dinitrotoluene biodegradation limits.","Sungsoo  Han, Sachiyo T Mukherji, Angela  Rice, Joseph B Hughes",Chemistry,2011,https://doi.org/10.1016/j.chemosphere.2011.06.100
Topological transitivity and ergodic measures,Benjamin  Weiss,Mathematics,2005,https://doi.org/10.1007/BF01691469
Estudos sobre a epidemiologia da doença de Chagas no Ceará XXI - ecologia de triatomíneos no Icó,"J. E. Alencar, Otávio Ferreira Bezerra, Oswaldo Freire de Faria Filho",Biology,1982,https://doi.org/10.1590/S0037-86821982000100006
La contribución de la empresa con la sociedad: tipos y valoración de las formas de colaboración,Carmen Valor Martínez,Sociology,2013,https://doi.org/10.5209/REV_CUTS.2013.V26.N1.40166
"Isolation, characterization, and localization of a capsule-associated gene, CAP10, of Cryptococcus neoformans.","Y C Chang, K J Kwon-Chung",Medicine,1999,https://doi.org/10.1128/JB.181.18.5636-5643.1999
Engineering-Based Decisions in Construction,"Michael  Fischer, Hank  Adams",Engineering,2011,https://doi.org/10.1061/%28ASCE%29CO.1943-7862.0000304
Strategy-IT Alignment - Assuring Alignment Using a Relation Algebra Method,"Frank  Grave, Rogier van de Wetering, Lloyd  Rutledge",Computer Science,2018,https://doi.org/10.1007/978-3-319-94214-8_26
StabilimaxNZ® versus simulated fusion: evaluation of adjacent-level effects,"Manohar M. Panjabi, Gweneth  Henderson, Yue  James, Jens Peter Timm",Medicine,2007,https://doi.org/10.1007/s00586-007-0444-5
Post-Optimal Analysis in Linear Semi-Infinite Optimization,"Miguel A. Goberna, Marco A. Lpez",Mathematics,2014,https://doi.org/10.1007/978-1-4899-8044-1
"Sovereignty, National Security, and Political Reform: Prevention Mechanism Against “Hong Kong Independence” Under the Hong Kong Basic Law","Jie  Zhu, Xiaoshan  Zhang",Political Science,2019,https://doi.org/10.1007/978-981-13-3344-6_7
Management of Nontuberculous Mycobacteria-Induced Cervical Lymphadenitis With Observation Alone,"Avraham  Zeharia, Tal  Eidlitz-Markus, Yishai  Haimi-Cohen, Zmira  Samra, Lea  Kaufman, Jacob  Amir",Medicine,2008,https://doi.org/10.1097/INF.0b013e3181734fa3
Raman imaging microscopy: a novel chemical imaging technique,"Linda H. Kidder, Seth R. Goldstein, Ira W. Levin, E. Neil Lewis",Materials Science,1996,https://doi.org/10.1117/12.237471
Effect of ash from forest fires on leaching in volcanic soils,"Mauricio  Escudey, Nicolás  Arancibia-Miranda, Carmen  Pizarro, Mónica  Antilén",Geology,2015,https://doi.org/10.1016/J.CATENA.2014.08.006
"Targeting cullin-RING ligases for cancer treatment: rationales, advances and therapeutic implications","Shuju  Wu, Lijie  Yu",Biology,2015,https://doi.org/10.1007/s10616-015-9870-0
The shear band controlled deformation in metallic glass: a perspective from fracture,"G N Yang, Y  Shao, K F Yao",Materials Science,2016,https://doi.org/10.1038/srep21852
E-Bot: A Facial Recognition Based Human-Robot Emotion Detection System,"Rahul  Sridhar, Haiying  Wang, Patrick  McAllister, Huiru  Zheng",Computer Science,2018,https://doi.org/10.14236/ewic%2Fhci2018.213
EXPERIMENTS ON THE TRANSPORT OF GRADED SEDIMENT.,"B B Willetts, Gareth  Pender, Ian  McEwan",Geography,1998,https://doi.org/10.1680/IWTME.1998.31049
Prognostic Value of Neuro-Psychological and Biological Factors in Clinically Fit Older Patients with Hematological Malignancies,"Stéphanie  Dubruille, Yves  Libert, Marie  Maerevoet, Myriam  Roos, Aurélie  Collard, Sandrine  Vandenbossche, Nathalie  Meuleman, Darius  Razavi, Dominique  Bron",Medicine,2014,https://doi.org/10.1182/BLOOD.V124.21.2630.2630
A carbon black floating film for seawater desalination based on interfacial solar heating,"Miaomiao  Ye, Kehang  Zhu, Jiahao  Gao, Rong  Chen, Tuqiao  Zhang",Materials Science,2019,https://doi.org/10.2166/WS.2019.070
Narrowband Source Localization from a Moving Array of Sensors,"D.R.  Keller, T.K.  Moon, J.H.  Gunther",Engineering,2006,https://doi.org/10.1109/ACSSC.2006.355177
Biomass Fuel Use of Carbonized Sewage Sludge,"Susumu  Shimura, Tadatoshi  Kabuto, Makoto  Kitabayashi, Kenji  Shimizu",Materials Science,2007,https://doi.org/10.4262/DENKISEIKO.78.73
Autobuttressing of colorectal anastomoses using a mesenteric flap,"H M Mohan, D C Winter",Medicine,2013,https://doi.org/10.1007/s13304-013-0230-3
Synaptic linkage of masseter muscle afferents to masseteric motoneurones in the cat,M.  Takata,Chemistry,1980,https://doi.org/10.1016/0306-4522%2880%2990004-4
Progress with enzyme inhibitors for treating HIV infection,David  Figgitt,Medicine,1995,https://doi.org/10.2165/00128413-199510070-00021
Integrated Analysis of Mechanical and Thermal Hydraulic Behavior of Graphite Stack in Channel-Type Reactors in Case of a Fuel Channel Rupture Accident,"Sergei L. Soloviev, Boris A. Gabaraev, Leonid M. Parafilo, Dmitry V. Kruchkov, Oleg Yu. Novoselsky, Vladimir N. Filinov, Oleg I. Melikhov",Engineering,2002,https://doi.org/10.1115/ICONE10-22338
Children's comprehension of contrastive connectives.,Jennifer  Spenader,Psychology,2018,https://doi.org/10.1017/S0305000917000423
Update on the management of overactive bladder: patient considerations and adherence,"Alex  Gomelsky, Roger R Dmochowski",Medicine,2010,https://doi.org/10.2147/OAJU.S7233
Instrumentation techniques for cyber-physical systems using the targeted dataflow interchange format,Shuvra S. Bhattacharyya,Computer Science,2012,https://doi.org/10.1109/SAMOS.2012.6404201
On Proving Properties of Completion Strategies,Miki  Hermann,Computer Science,1991,https://doi.org/10.1007/3-540-53904-2_113
New route to bimetallic imidazole-bridged complexes IV. Synthesis and characterization of homobinuclear (CuCu; NiNi) and heterobinuclear (CuNi; CuZn; NiZn) imidazolate-bridged complexes from novel mononuclear entities,"Jean-Pierre  Costes, Maria-Isabel  Fernandez-Garcia",Chemistry,1990,https://doi.org/10.1016/S0020-1693%2800%2980220-0
Plant species segregation in dune ecosystems emphasises competition and species sorting over facilitation,"Ana Sofia Vaz, Jose  Macedo, Paulo C. Alves, João  Honrado, Angela  Lomba",Biology,2015,https://doi.org/10.1080/17550874.2013.843210
Rhenium-catalyzed C-H aminocarbonylation of azobenzenes with isocyanates.,"Xiaoyu  Geng, Congyang  Wang",Chemistry,2015,https://doi.org/10.1039/c5ob01121c
Independent modulation of the kinase and polo-box activities of Cdc5 protein unravels unique roles in the maintenance of genome stability,"Hery  Ratsima, Anne-Marie  Ladouceur, Mirela  Pascariu, Véronique  Sauvé, Zeina  Salloum, Paul S Maddox, Damien  D'Amours",Biology,2011,https://doi.org/10.1073/pnas.1106448108
Recruitment and retention of participants in UK surgical trials: survey of key issues reported by trial staff.,"J C Crocker, N  Farrar, J A Cook, S  Treweek, K  Woolfall, A  Chant, J  Bostock, L  Locock, S  Rees, S  Olszowski, R  Bulbulia",Medicine,2020,https://doi.org/10.1002/bjs5.50345
A longitudinal study of multimodal evoked potentials in patients following radiotherapy for nasopharyngeal carcinoma,"L M Tang, S T Chen, W C Hsu, W M Leung",Medicine,1996,https://doi.org/10.1212/WNL.47.2.521
A multicenter phase II study of local radiation therapy for stage IEA mucosa-associated lymphoid tissue lymphomas: a preliminary report from the Japan Radiation Oncology Group (JAROG).,"Koichi  Isobe, Yoshikazu  Kagami, Keiko  Higuchi, Takeshi  Kodaira, Masatoshi  Hasegawa, Naoto  Shikama, Masanori  Nakazawa, Ichiro  Fukuda, Keiji  Nihei, Kana  Ito, Teruki  Teshima, Yoshihiro  Matsuno, Masahiko  Oguchi",Medicine,2007,https://doi.org/10.1016/J.IJROBP.2007.04.029
FeCl3-adsorbed on montmorillonite K-10: An efficient catalyst for one-pot dealkylation–acetylation of ethers †,"Mansour  Lakouraj, Barahman  Movassagh, Jalal  Fasihi",Chemistry,2001,https://doi.org/10.3184/030823401103170151
Cerebrospinal BAFF and Epstein–Barr virus-specific oligoclonal bands in multiple sclerosis and other inflammatory demyelinating neurological diseases,"Diego  Franciotta, Anna Luisa Di Stefano, Sven  Jarius, Elisabetta  Zardini, Mauro  Ceroni",Medicine,2011,https://doi.org/10.1016/j.jneuroim.2010.10.027
"Possible mystery behind higher susceptibility of type 2 diabetes in Asian Indians: is it diet, genetics or something else","Hariom  Yadav, Shalini  Jain",Medicine,2016,https://doi.org/10.15406/JNHFE.2016.05.00159
Fiscal and Monetary Policies During the Great Recession: A Critical Evaluation,Vito  Tanzi,Economics,2015,https://doi.org/10.1057/CES.2014.36
Quinolone Antibacterials,"Niels  Rosenstiel, Dieter  Adam",Medicine,2012,https://doi.org/10.2165/00003495-199447060-00003
